firstName,lastName,passPortNumber,DOB,passportExpires,gender,phoneNumber,email,departureLocation,arrivalLocation,departureAirport,arrivalAirport,PNRNumber,flightId
Abdul ,Azim,FOcTc7Oly3,08-12-1996,14-02-2025,Male,9115855502,abdul.azim@gmail.com,DXB,BOM,Dubai International Airport,Chhatrapati Shivaji Maharaj International Airport,W21A5C,65f934de1dec2e81acb9d544
Badr,Uddin,FimUgHwzcb,17-12-2000,09-03-2026,Male,9015345502,badr.uddin@gmail.com,AUH,OXF,Zayed International Airport,"Oxford, United Kingdom",L59C7F,65f9351c1dec2e81acb9d546
Muayyad,Ali,KxZOm21vOc,25-12-1998,19-12-2026,Male,9722382302,muayyad.ali@gmail.com,AUH,PAR,Zayed International Airport,Charles de Gaulle Airport,3XTQYW,65f935731dec2e81acb9d548
Nour,Khan,Oo1Q3MqFIM,14-9-2003,15-06-2027,FeMale,9915055702,nour.khan@gmail.com,DXB,BCN,Dubai International Airport,Josep Tarradellas Barcelona–El Prat Airport,JN7FCG,65f935921dec2e81acb9d54a
Omar,Farooqi,XhcDZFodhE,25-04-2000,30-12-2027,Male,8730000902,omar.farooqi@gmai.com,AUH,JFK,Zayed International Airport,John F. Kennedy International Airport,0F4GBE,65f935db1dec2e81acb9d54c
Yusuf,Siddiqui,ZzUvD0lHMH,09-19-2000,15-06-2027,Male,7963854502,yusuf.siddiqui@gmail.com,DXB,BOM,Dubai International Airport,Chhatrapati Shivaji Maharaj International Airport,IFIW9N,65f936161dec2e81acb9d54e
Muhammad,Rahman,iGMas6A0Yh,09-10-1992,09-06-2028,Male,9915151502,muhammad.rahman@gmail.com,DXB,OXF,Dubai International Airport,"Oxford, United Kingdom",D5JOM8,65f9351c1dec2e81acb9d546
Hafsa,Ahmed,P53vn3k1Dc,28-06-1980,23-12-2028,Male,9723859511,hafsa.ahmed@gmail.com,DXB,JFK,Dubai International Airport,John F. Kennedy International Airport,Y083YE,65f935731dec2e81acb9d548
Mustafa,Mahmood,JJtoTfO24s,25-03-2004,02-08-2028,Male,9002352502,mustafa.mahmood@gmail.com,AUH,PAR,Zayed International Airport,Charles de Gaulle Airport,832UC3,65f936161dec2e81acb9d54e
Sumaya,Qureshi,ROzYP3vz9y,02-08-2006,09-12-2025,FeMale,9725815102,sumaya.qureshi@gmail.com,AUH,BCN,Zayed International Airport,Josep Tarradellas Barcelona–El Prat Airport,0H1RO9,65f934de1dec2e81acb9d544
